Interval,Transfer,Bitrate,Total,Datagrams
0.00-1.00,1056768.0,1050000.0,91
1.00-2.00,1040384.0,1040000.0,90
2.00-3.00,1056768.0,1050000.0,91
3.00-4.00,1040384.0,1040000.0,90
4.00-5.00,1056768.0,1050000.0,91
5.00-6.00,1056768.0,1050000.0,91
6.00-7.00,1040384.0,1040000.0,90
7.00-8.00,1056768.0,1050000.0,91
8.00-9.00,1040384.0,1040000.0,90
9.00-10.00,1056768.0,1050000.0,91
10.00-11.00,1040384.0,1040000.0,90
11.00-12.00,1056768.0,1050000.0,91
12.00-13.00,1040384.0,1040000.0,90
13.00-14.00,1056768.0,1050000.0,91
14.00-15.00,1040384.0,1040000.0,90
15.00-16.00,1056768.0,1050000.0,91
16.00-17.00,1040384.0,1040000.0,90
17.00-18.00,1056768.0,1050000.0,91
18.00-19.00,1040384.0,1040000.0,90
19.00-20.00,1056768.0,1050000.0,91
20.00-21.00,1040384.0,1040000.0,90
21.00-22.00,1056768.0,1050000.0,91
22.00-23.00,1040384.0,1040000.0,90
23.00-24.00,1056768.0,1050000.0,91
24.00-25.00,1040384.0,1040000.0,90
25.00-26.00,1056768.0,1050000.0,91
26.00-27.00,1040384.0,1040000.0,90
27.00-28.00,1056768.0,1050000.0,91
28.00-29.00,1040384.0,1040000.0,90
29.00-30.00,1056768.0,1050000.0,91
30.00-31.00,1056768.0,1050000.0,91
31.00-32.00,1040384.0,1040000.0,90
32.00-33.00,1056768.0,1050000.0,91
33.00-34.00,764313.6,764000.0,66
34.00-35.00,254771.2,255000.0,22
35.00-36.00,394035.2,394000.0,34
36.00-37.00,660275.2,660000.0,57
37.00-38.00,185139.2,185000.0,16
38.00-39.00,92569.6,92700.0,8
39.00-40.00,81100.8,81100.0,7
40.00-41.00,231833.6,232000.0,20
41.00-42.00,92569.6,92700.0,8
42.00-43.00,208896.0,209000.0,18
43.00-44.00,439910.4,440000.0,38
44.00-45.00,335872.0,336000.0,29
45.00-46.00,208896.0,209000.0,18
46.00-47.00,127795.2,127000.0,11
47.00-48.00,104038.4,104000.0,9
48.00-49.00,69468.16,69500.0,6
49.00-50.00,57917.44,57900.0,5
50.00-51.00,69468.16,69500.0,6
51.00-52.00,69468.16,69500.0,6
52.00-53.00,34734.08,34700.0,3
53.00-54.00,81100.8,81100.0,7
54.00-55.00,69468.16,69500.0,6
55.00-56.00,69468.16,69500.0,6
56.00-57.00,81100.8,81100.0,7
57.00-58.00,46366.72,46300.0,4
58.00-59.00,34734.08,34700.0,3
59.00-60.00,57917.44,57900.0,5
60.00-61.00,46366.72,46300.0,4
61.00-62.00,69468.16,69500.0,6
62.00-63.00,46366.72,46300.0,4
63.00-64.00,81100.8,81100.0,7
64.00-65.00,104038.4,104000.0,9
65.00-66.00,139264.0,139000.0,12
66.00-67.00,69468.16,69500.0,6
67.00-68.00,46366.72,46300.0,4
68.00-69.00,81100.8,81100.0,7
69.00-70.00,81100.8,81100.0,7
70.00-71.00,115507.2,116000.0,10
71.00-72.00,57917.44,57900.0,5
72.00-73.00,81100.8,81100.0,7
73.00-74.00,69468.16,69500.0,6
74.00-75.00,69468.16,69500.0,6
75.00-76.00,81100.8,81100.0,7
76.00-77.00,57917.44,57900.0,5
77.00-78.00,57917.44,57900.0,5
78.00-79.00,57917.44,57900.0,5
79.00-80.00,69468.16,69500.0,6
80.00-81.00,69468.16,69500.0,6
81.00-82.00,57917.44,57900.0,5
82.00-83.00,57917.44,57900.0,5
83.00-84.00,46366.72,46300.0,4
84.00-85.00,57917.44,57900.0,5
85.00-86.00,46366.72,46300.0,4
86.00-87.00,46366.72,46300.0,4
87.00-88.00,34734.08,34700.0,3
88.00-89.00,46366.72,46300.0,4
89.00-90.00,46366.72,46300.0,4
90.00-91.00,46366.72,46300.0,4
91.00-92.00,57917.44,57900.0,5
92.00-93.00,46366.72,46300.0,4
93.00-94.00,92569.6,92700.0,8
94.00-95.00,46366.72,46300.0,4
95.00-96.00,57917.44,57900.0,5
96.00-97.00,46366.72,46300.0,4
97.00-98.00,139264.0,139000.0,12
98.00-99.00,115507.2,116000.0,10
99.00-100.00,324403.2,324000.0,28
100.00-101.00,173670.4,174000.0,15
101.00-102.00,139264.0,139000.0,12
102.00-103.00,173670.4,174000.0,15
103.00-104.00,150732.8,151000.0,13
104.00-105.00,81100.8,81100.0,7
105.00-106.00,69468.16,69500.0,6
106.00-107.00,162201.6,162000.0,14
107.00-108.00,46366.72,46300.0,4
108.00-109.00,46366.72,46300.0,4
109.00-110.00,46366.72,46300.0,4
110.00-111.00,57917.44,57900.0,5
111.00-112.00,46366.72,46300.0,4
112.00-113.00,92569.6,92700.0,8
113.00-114.00,220364.8,220000.0,19
114.00-115.00,92569.6,92700.0,8
115.00-116.00,69468.16,69500.0,6
116.00-117.00,92569.6,92700.0,8
117.00-118.00,127795.2,127000.0,11
118.00-119.00,81100.8,81100.0,7
119.00-120.00,81100.8,81100.0,7
120.00-121.00,34734.08,34800.0,3
121.00-122.00,92569.6,92700.0,8
122.00-123.00,92569.6,92700.0,8
123.00-124.00,185139.2,185000.0,16
124.00-125.00,57917.44,57900.0,5
125.00-126.00,92569.6,92700.0,8
126.00-127.00,57917.44,57900.0,5
127.00-128.00,69468.16,69500.0,6
128.00-129.00,81100.8,81100.0,7
129.00-130.00,104038.4,104000.0,9
130.00-131.00,115507.2,116000.0,10
131.00-132.00,104038.4,104000.0,9
132.00-133.00,208896.0,209000.0,18
133.00-134.00,405504.0,405000.0,35
134.00-135.00,416972.8,417000.0,36
