Interval,Transfer,Bandwidth,Retr,Cwnd
121.00-122.00,15351152.64,15400000.0,0,422707.2
122.00-123.00,14428405.76,14400000.0,0,434176.0
123.00-124.00,13757317.12,13800000.0,0,434176.0
124.00-125.00,2236416.0,2240000.0,2,11386.88
125.00-126.00,0.00,0.00,1,11386.88
126.00-127.00,411238.4,411000.0,2,68567.04
127.00-128.00,13421772.8,13400000.0,13,422707.2
128.00-129.00,14680064.0,14700000.0,0,434176.0
129.00-130.00,13421772.8,13400000.0,0,434176.0
130.00-131.00,13757317.12,13800000.0,0,434176.0
131.00-132.00,9563013.12,9600000.0,1,11386.88
132.00-133.00,0.00,0.00,1,11386.88
133.00-134.00,0.00,0.00,1,11386.88
134.00-135.00,7200768.0,7200000.0,17,399769.6
135.00-136.00,14428405.76,14400000.0,0,434176.0
136.00-137.00,13086228.48,13100000.0,0,434176.0
137.00-138.00,14092861.44,14100000.0,0,434176.0
138.00-139.00,12834570.24,12800000.0,0,434176.0
139.00-140.00,1916928.0,1920000.0,2,11386.88
140.00-141.00,0.00,0.00,1,11386.88
141.00-142.00,0.00,0.00,0,11386.88
142.00-143.00,6692864.0,6690000.0,15,399769.6
143.00-144.00,13757317.12,13800000.0,0,422707.2
144.00-145.00,13170114.56,13100000.0,0,434176.0
145.00-146.00,14092861.44,14100000.0,0,434176.0
146.00-147.00,14092861.44,14100000.0,0,434176.0
147.00-148.00,1597440.0,1600000.0,2,11386.88
148.00-149.00,0.00,0.00,1,11386.88
149.00-150.00,933888.0,937000.0,15,308838.4
150.00-151.00,12499025.92,12500000.0,0,422707.2
151.00-152.00,14092861.44,14100000.0,0,434176.0
152.00-153.00,14092861.44,14100000.0,0,434176.0
153.00-154.00,12163481.6,12100000.0,0,434176.0
154.00-155.00,7036928.0,7040000.0,1,11386.88
155.00-156.00,0.00,0.00,1,11386.88
156.00-157.00,0.00,0.00,1,11386.88
157.00-158.00,8640266.24,8650000.0,24,411238.4
158.00-159.00,12499025.92,12500000.0,0,434176.0
159.00-160.00,14428405.76,14400000.0,0,434176.0
160.00-161.00,14763950.08,14700000.0,0,434176.0
161.00-162.00,12834570.24,12800000.0,0,434176.0
