Interval,Transfer,Bandwidth,Retr,Cwnd
0.00-1.00,890880.0,7130000.0,1,52838.4
1.00-2.00,817152.0,6530000.0,0,52838.4
2.00-3.00,817152.0,6530000.0,0,52838.4
3.00-4.00,890880.0,7130000.0,0,52838.4
4.00-5.00,37171.2,297000.0,2,1423.36
5.00-6.00,0.00,0.00,0,1423.36
6.00-7.00,98508.8,788000.0,10,35737.6
7.00-8.00,883712.0,7070000.0,0,49971.2
8.00-9.00,854016.0,6830000.0,0,51404.8
9.00-10.00,890880.0,7130000.0,0,52838.4
10.00-11.00,927744.0,7420000.0,0,52838.4
11.00-12.00,408576.0,3270000.0,1,1423.36
12.00-13.00,0.00,0.00,1,1423.36
13.00-14.00,0.00,0.00,1,1423.36
14.00-15.00,459776.0,3680000.0,14,44236.8
15.00-16.00,890880.0,7130000.0,0,51404.8
16.00-17.00,890880.0,7130000.0,0,52838.4
17.00-18.00,668672.0,5350000.0,0,52838.4
18.00-19.00,666624.0,5340000.0,0,52838.4
19.00-20.00,0.00,0.00,2,1423.36
20.00-21.00,0.00,0.00,0,1423.36
21.00-22.00,210944.0,1690000.0,11,32870.4
22.00-23.00,705536.0,5640000.0,0,47104.0
23.00-24.00,817152.0,6540000.0,0,51404.8
24.00-25.00,779264.0,6240000.0,0,52838.4
25.00-26.00,854016.0,6830000.0,0,52838.4
26.00-27.00,448512.0,3590000.0,1,1423.36
27.00-28.00,0.00,0.00,1,1423.36
28.00-29.00,0.00,0.00,1,1423.36
29.00-30.00,518144.0,4150000.0000000005,13,45670.4
30.00-31.00,666624.0,5340000.0,0,51404.8
31.00-32.00,635904.0,5080000.0,0,52838.4
32.00-33.00,854016.0,6830000.0,0,52838.4
33.00-34.00,708608.0,5670000.0,0,52838.4
34.00-35.00,0.00,0.00,2,1423.36
35.00-36.00,0.00,0.00,1,1423.36
36.00-37.00,184320.0,1470000.0,7,32870.4
37.00-38.00,742400.0,5940000.0,0,47104.0
38.00-39.00,745472.0,5960000.0,0,51404.8
39.00-40.00,705536.0,5640000.0,0,52838.4
40.00-41.00,742400.0,5940000.0,0,52838.4
41.00-42.00,668672.0,5350000.0,0,52838.4
42.00-43.00,654336.0,5230000.0,0,58572.8
43.00-44.00,521216.0,4170000.0,0,58572.8
44.00-45.00,601088.0,4810000.0,0,58572.8
45.00-46.00,520192.0,4160000.0,0,58572.8
46.00-47.00,239616.0,1920000.0,0,58572.8
47.00-48.00,180224.0,1440000.0,13,45670.4
48.00-49.00,440320.0,3520000.0,0,51404.8
49.00-50.00,359424.0,2880000.0,0,55705.6
50.00-51.00,359424.0,2880000.0,0,55705.6
51.00-52.00,441344.0,3530000.0,0,55705.6
52.00-53.00,79974.4,640000.0,1,1423.36
53.00-54.00,0.00,0.00,1,1423.36
54.00-55.00,0.00,0.00,0,1423.36
55.00-56.00,288768.0,2310000.0,9,48537.6
56.00-57.00,402432.0,3220000.0,0,52838.4
57.00-58.00,404480.0,3230000.0,0,52838.4
58.00-59.00,319488.0,2560000.0,0,52838.4
59.00-60.00,162816.0,1300000.0,0,52838.4
60.00-61.00,0.00,0.00,1,1423.36
61.00-62.00,0.00,0.00,0,1423.36
62.00-63.00,133120.0,1060000.0,9,32870.4
63.00-64.00,319488.0,2560000.0,0,45670.4
64.00-65.00,322560.0,2580000.0,0,51404.8
65.00-66.00,279552.0,2240000.0,0,51404.8
66.00-67.00,300032.0,2400000.0,1,41369.6
67.00-68.00,39936.0,320000.0,1,1423.36
68.00-69.00,0.00,0.00,1,1423.36
69.00-70.00,0.00,0.00,5,32870.4
70.00-71.00,39936.0,320000.0,20,24268.8
71.00-72.00,60006.4,480000.0,0,24268.8
72.00-73.00,122880.0,982000.0,0,25702.4
73.00-74.00,39936.0,320000.0,0,25702.4
74.00-75.00,41369.6,331000.0,1,24268.8
75.00-76.00,0.00,0.00,1,1423.36
76.00-77.00,0.00,0.00,0,1423.36
77.00-78.00,0.00,0.00,0,1423.36
78.00-79.00,0.00,0.00,0,1423.36
79.00-80.00,0.00,0.00,0,1423.36
80.00-81.00,0.00,0.00,0,1423.36
81.00-82.00,0.00,0.00,0,1423.36
82.00-83.00,0.00,0.00,0,1423.36
83.00-84.00,0.00,0.00,0,1423.36
84.00-85.00,0.00,0.00,0,1423.36
85.00-86.00,0.00,0.00,0,1423.36
86.00-87.00,0.00,0.00,1,1423.36
87.00-88.00,0.00,0.00,0,1423.36
88.00-89.00,0.00,0.00,0,1423.36
89.00-90.00,0.00,0.00,0,1423.36
90.00-91.00,0.00,0.00,0,1423.36
91.00-92.00,0.00,0.00,0,1423.36
92.00-93.00,0.00,0.00,0,1423.36
93.00-94.00,0.00,0.00,0,1423.36
94.00-95.00,0.00,0.00,0,1423.36
95.00-96.00,0.00,0.00,0,1423.36
96.00-97.00,0.00,0.00,0,1423.36
97.00-98.00,0.00,0.00,0,1423.36
98.00-99.00,0.00,0.00,0,1423.36
99.00-100.00,0.00,0.00,0,1423.36
100.00-101.00,0.00,0.00,0,1423.36
101.00-102.00,0.00,0.00,0,1423.36
102.00-103.00,0.00,0.00,1,1423.36
103.00-104.00,0.00,0.00,0,1423.36
104.00-105.00,0.00,0.00,0,1423.36
105.00-106.00,0.00,0.00,0,1423.36
106.00-107.00,0.00,0.00,0,1423.36
107.00-108.00,0.00,0.00,0,1423.36
108.00-109.00,0.00,0.00,0,1423.36
109.00-110.00,0.00,0.00,0,1423.36
110.00-111.00,0.00,0.00,0,1423.36
111.00-112.00,0.00,0.00,0,1423.36
112.00-113.00,0.00,0.00,0,1423.36
113.00-114.00,0.00,0.00,0,1423.36
114.00-115.00,0.00,0.00,0,1423.36
115.00-116.00,0.00,0.00,0,1423.36
116.00-117.00,0.00,0.00,0,1423.36
117.00-118.00,0.00,0.00,0,1423.36
118.00-119.00,0.00,0.00,0,1423.36
119.00-120.00,0.00,0.00,0,1423.36
120.00-121.00,0.00,0.00,0,1423.36
121.00-122.00,0.00,0.00,0,1423.36
122.00-123.00,0.00,0.00,0,1423.36
123.00-124.00,0.00,0.00,0,1423.36
124.00-125.00,0.00,0.00,0,1423.36
125.00-126.00,0.00,0.00,0,1423.36
126.00-127.00,0.00,0.00,0,1423.36
127.00-128.00,0.00,0.00,0,1423.36
128.00-129.00,0.00,0.00,0,1423.36
129.00-130.00,0.00,0.00,0,1423.36
130.00-131.00,0.00,0.00,0,1423.36
131.00-132.00,0.00,0.00,0,1423.36
132.00-133.00,0.00,0.00,0,1423.36
133.00-134.00,0.00,0.00,0,1423.36
134.00-135.00,0.00,0.00,0,1423.36
135.00-136.00,0.00,0.00,1,1423.36
136.00-137.00,0.00,0.00,0,1423.36
137.00-138.00,0.00,0.00,0,1423.36
138.00-139.00,0.00,0.00,0,1423.36
139.00-140.00,0.00,0.00,0,1423.36
140.00-141.00,0.00,0.00,0,1423.36
141.00-142.00,0.00,0.00,0,1423.36
142.00-143.00,0.00,0.00,0,1423.36
143.00-144.00,0.00,0.00,0,1423.36
144.00-145.00,0.00,0.00,0,1423.36
145.00-146.00,0.00,0.00,0,1423.36
146.00-147.00,0.00,0.00,0,1423.36
147.00-148.00,0.00,0.00,0,1423.36
148.00-149.00,0.00,0.00,0,1423.36
149.00-150.00,0.00,0.00,0,1423.36
150.00-151.00,0.00,0.00,0,1423.36
151.00-152.00,0.00,0.00,0,1423.36
152.00-153.00,0.00,0.00,0,1423.36
153.00-154.00,0.00,0.00,0,1423.36
154.00-155.00,0.00,0.00,0,1423.36
155.00-156.00,0.00,0.00,0,1423.36
156.00-157.00,0.00,0.00,0,1423.36
157.00-158.00,0.00,0.00,0,1423.36
158.00-159.00,0.00,0.00,0,1423.36
159.00-160.00,0.00,0.00,0,1423.36
160.00-161.00,0.00,0.00,0,1423.36
161.00-162.00,0.00,0.00,0,1423.36
162.00-163.00,0.00,0.00,0,1423.36
163.00-164.00,0.00,0.00,0,1423.36
164.00-165.00,0.00,0.00,0,1423.36
165.00-166.00,0.00,0.00,0,1423.36
166.00-167.00,0.00,0.00,0,1423.36
167.00-168.00,0.00,0.00,0,1423.36
168.00-169.00,0.00,0.00,0,1423.36
169.00-170.00,0.00,0.00,0,1423.36
170.00-171.00,0.00,0.00,0,1423.36
171.00-172.00,0.00,0.00,0,1423.36
172.00-173.00,0.00,0.00,0,1423.36
173.00-174.00,0.00,0.00,0,1423.36
174.00-175.00,0.00,0.00,0,1423.36
175.00-176.00,0.00,0.00,0,1423.36
176.00-177.00,0.00,0.00,0,1423.36
177.00-178.00,0.00,0.00,0,1423.36
178.00-179.00,0.00,0.00,0,1423.36
179.00-180.00,0.00,0.00,0,1423.36
180.00-181.00,0.00,0.00,0,1423.36
181.00-182.00,0.00,0.00,0,1423.36
182.00-183.00,0.00,0.00,0,1423.36
183.00-184.00,0.00,0.00,0,1423.36
184.00-185.00,0.00,0.00,0,1423.36
185.00-186.00,0.00,0.00,0,1423.36
186.00-187.00,0.00,0.00,0,1423.36
187.00-188.00,0.00,0.00,0,1423.36
188.00-189.00,0.00,0.00,0,1423.36
189.00-190.00,0.00,0.00,0,1423.36
190.00-191.00,0.00,0.00,0,1423.36
191.00-192.00,0.00,0.00,0,1423.36
192.00-193.00,0.00,0.00,0,1423.36
193.00-194.00,0.00,0.00,0,1423.36
194.00-195.00,0.00,0.00,0,1423.36
195.00-196.00,0.00,0.00,0,1423.36
196.00-197.00,0.00,0.00,0,1423.36
197.00-198.00,0.00,0.00,0,1423.36
198.00-199.00,0.00,0.00,0,1423.36
199.00-200.00,0.00,0.00,0,1423.36
200.00-201.00,0.00,0.00,0,1423.36
201.00-202.00,0.00,0.00,0,1423.36
202.00-203.00,239616.0,1920000.0,12,30003.2
203.00-204.00,679936.0,5440000.0,0,54272.0
204.00-205.00,759808.0,6080000.0,0,54272.0
205.00-206.00,359424.0,2880000.0,1,1423.36
206.00-207.00,0.00,0.00,1,1423.36
207.00-208.00,0.00,0.00,1,1423.36
208.00-209.00,481280.0,3850000.0,9,39936.0
209.00-210.00,601088.0,4810000.0,0,49971.2
210.00-211.00,879616.0,7040000.0,0,51404.8
211.00-212.00,879616.0,7040000.0,0,52838.4
212.00-213.00,759808.0,6080000.0,0,54272.0
