Interval;Transfer;Bandwidth;Retr;Cwnd
402.00-403.00 sec;473 KBytes;3.87 Mbits/sec;0;51.6 KBytes
403.00-404.00 sec;0.00 Bytes;0.00 bits/sec;1;1.39 KBytes
404.00-405.00 sec;0.00 Bytes;0.00 bits/sec;1;1.39 KBytes
405.00-406.00 sec;75.3 KBytes;617 Kbits/sec;10;36.3 KBytes
406.00-407.00 sec;470 KBytes;3.85 Mbits/sec;0;47.4 KBytes
407.00-408.00 sec;315 KBytes;2.58 Mbits/sec;0;50.2 KBytes
408.00-409.00 sec;390 KBytes;3.20 Mbits/sec;0;51.6 KBytes
409.00-410.00 sec;353 KBytes;2.89 Mbits/sec;0;51.6 KBytes
410.00-411.00 sec;198 KBytes;1.62 Mbits/sec;1;51.6 KBytes
411.00-412.00 sec;0.00 Bytes;0.00 bits/sec;1;1.39 KBytes
412.00-413.00 sec;0.00 Bytes;0.00 bits/sec;1;1.39 KBytes
413.00-414.00 sec;191 KBytes;1.57 Mbits/sec;6;43.2 KBytes
414.00-415.00 sec;390 KBytes;3.20 Mbits/sec;0;50.2 KBytes
415.00-416.00 sec;351 KBytes;2.88 Mbits/sec;0;51.6 KBytes
416.00-417.00 sec;312 KBytes;2.56 Mbits/sec;0;51.6 KBytes
417.00-418.00 sec;227 KBytes;1.86 Mbits/sec;1;40.4 KBytes
418.00-419.00 sec;0.00 Bytes;0.00 bits/sec;1;1.39 KBytes
419.00-420.00 sec;0.00 Bytes;0.00 bits/sec;1;1.39 KBytes
420.00-421.00 sec;39.0 KBytes;320 Kbits/sec;13;27.9 KBytes
421.00-422.00 sec;119 KBytes;971 Kbits/sec;0;36.3 KBytes
422.00-423.00 sec;234 KBytes;1.92 Mbits/sec;0;40.4 KBytes
423.00-424.00 sec;234 KBytes;1.92 Mbits/sec;0;40.4 KBytes
424.00-425.00 sec;314 KBytes;2.57 Mbits/sec;0;43.2 KBytes
425.00-426.00 sec;119 KBytes;971 Kbits/sec;0;46.0 KBytes
426.00-427.00 sec;0.00 Bytes;0.00 bits/sec;2;1.39 KBytes
427.00-428.00 sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
428.00-429.00 sec;261 KBytes;2.14 Mbits/sec;7;40.4 KBytes
429.00-430.00 sec;120 KBytes;982 Kbits/sec;0;44.6 KBytes
430.00-431.00 sec;39.0 KBytes;320 Kbits/sec;0;46.0 KBytes
431.00-432.00 sec;79.5 KBytes;651 Kbits/sec;0;46.0 KBytes
432.00-433.00 sec;0.00 Bytes;0.00 bits/sec;0;46.0 KBytes
433.00-434.00 sec;39.0 KBytes;320 Kbits/sec;1;30.7 KBytes
434.00-435.00 sec;0.00 Bytes;0.00 bits/sec;0;26.5 KBytes
435.00-436.00 sec;0.00 Bytes;0.00 bits/sec;2;18.1 KBytes
436.00-437.00 sec;48.8 KBytes;400 Kbits/sec;2;13.9 KBytes
437.00-438.00 sec;0.00 Bytes;0.00 bits/sec;2;12.6 KBytes
438.00-439.00 sec;0.00 Bytes;0.00 bits/sec;1;11.2 KBytes
439.00-440.00 sec;0.00 Bytes;0.00 bits/sec;6;15.3 KBytes
440.00-441.00 sec;79.5 KBytes;651 Kbits/sec;0;18.1 KBytes
441.00-442.00 sec;0.00 Bytes;0.00 bits/sec;0;18.1 KBytes
442.00-443.00 sec;39.0 KBytes;320 Kbits/sec;0;19.5 KBytes
443.00-444.00 sec;78.1 KBytes;640 Kbits/sec;0;22.3 KBytes
444.00-445.00 sec;0.00 Bytes;0.00 bits/sec;0;22.3 KBytes
445.00-446.00 sec;0.00 Bytes;0.00 bits/sec;1;1.39 KBytes
446.00-447.00 sec;0.00 Bytes;0.00 bits/sec;8;5.58 KBytes
447.00-448.00 sec;0.00 Bytes;0.00 bits/sec;7;11.2 KBytes
448.00-449.00 sec;0.00 Bytes;0.00 bits/sec;2;8.37 KBytes
