"Interval start","All","OLSR","UDP"
0,2,2,0
1,2,2,0
2,0,0,0
3,64,2,62
4,3,0,3
5,2,2,0
6,0,0,0
7,37,1,36
8,1,1,0
9,1,1,0
10,14,1,13
11,25,0,25
12,7,2,5
13,1,1,0
14,7,1,6
15,18,1,17
16,1,1,0
17,1,1,0
18,1,1,0
19,1,1,0
20,1,1,0
21,0,0,0
22,2,2,0
23,1,1,0
24,1,1,0
25,1,1,0
26,1,1,0
27,1,1,0
28,1,1,0
